Unnamed: 0	command	Description	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7
319	mv -ivZ	Shift bleach.txt into anime folder. Show the progress of process and ask before overwriting and take backup of those files. Set SEL security context to default.					
320	mv -fvZ	Move the file bleach.txt to anime directory. Overwrite files and set SELinux security context to default. Create simple backup. Show the operations performed.					
321	mv -fvZ	Move bleach.txt -> anime/bleach.txt showing progress. Overwrite files after making their backup files. Set SEL security context to default value.					
322	mv -fvZ	Shift bleach.txt into anime folder. Show the progress of process and do not ask before overwriting. Create backup. Set SEL security context to default.					
323	mv -nv	Move undo/// into redo directory after stripping following slashes. Do not overwrite any file. Show the progress of the process.					
324	mv -nv	Truncate trailing slashes from source undo/// and transfer it into redo folder. Do not overwrite existing files and give the list of tasks performed.					
325	mv -nv	Shift undo/// into redo after stripping trailing forward slashes from source name. Do not overwrite any files in destination. Display the jobs completed.					
326	mv -ivZ	Move bleach.txt file to anime directory. Ask for overwriting files. Set the SELinux security context to default. Create existing backup. Show the operations performed.					
327	mv -ivZ	Shift bleach.txt -> anime/bleach.txt showing progress. Ask before overwriting and take backup of those files in existing format. Set SEL security context to default value.					
328	mv -ivZ	Shift bleach.txt into anime folder. Show the progress of process and ask before overwriting. Create backup for overwritten files in the format used before. Set SEL security context to default.					
329	mv -fvZ	Move the file bleach.txt to anime directory. Overwrite files and set SELinux security context to default. Create existing backup. Show the operations performed.					
330	mv -fvZ	Shift bleach.txt -> anime/bleach.txt showing progress. Overwrite files after making their backup files in existing format. Set SEL security context to default value.					
331	mv -fvZ	Shift bleach.txt into anime folder. Show the progress of process and do not ask before overwriting. Create backup in existing format for such files. Set SEL security context to default.					
332	mv -ivZS	Move bleach.txt file to anime directory after removing any trailing slashes from source bleach.txt . Ask for overwriting files. Set the SELinux security context to default. Create backup with suffix .bk . Show the operations performed.					
333	mv -ivZS	How do I move bleach.txt inside anime folder after removing following slashes from name and creatinng backup of overwritten files with .bk extension? I also want to display the tasks done, ask before overwriting files and set SELinux security context to default value?					
334	mv -ivZS	Setting SEL security context to default, shift bleach.txt into anime folder after stripping trailing slashes from source name. Ask for permission to overwrite files and display the tasks completed.					
335	mv -ivZ	Move bleach.txt file to anime directory. Ask for overwriting files. Set the SELinux security context to default. Create numbered backup. Show the operations performed.					
336	mv -ivZ	Transfer bleach.txt into anime folder. Set sel security context to normal value and create numbered backup. Do not over-write files without asking and show the operations performed.					
337	mv -ivZ	Shift the file, bleach.txt into anime folder and make the sel security context default. Ask for permission to overwrite files and take numbered backup of overwritten files.					
338	mv -fvZ	Move the file bleach.txt to anime directory. Overwrite files and set SELinux security context to default. Create numbered backup. Show the operations performed.					
339	mv -fvZ	Move the file bleach.txt to anime directory after removing trailing slashes fromm source bleach.txt// . Overwrite files and set SELinux security context to default. Create numbered backup. Show the operations performed.					
340	mv -fvZ	Transfer bleach.txt into anime folder. Set sel security context to normal value and create numbered backup. Over-write files without asking and show the operations performed.					
341	mv -fvZ	Shift the file, bleach.txt into anime folder and make the sel security context default.Do not ask for permission to overwrite files and take numbered backup of overwritten files.					
342	mv -ivZS	Move bleach.txt file to anime directory. Ask for overwriting files. Set the SELinux security context to default. Create backup with suffix .bk . Show the operations performed.					
343	mv -ivZS	Setting SELinux security context to default, move bleach.txt inside anime folder and create backup with .bk extension. Show the progress of tasks. Do not over-write without permission.					
344	mv -ivZS	Shift bleach.txt into anime folder with sel security context set to default and make backup with .bk appended to name before overwriting them. Ask before overwriting.					
345	mv -fvZS	Move the file bleach.txt to anime directory. Overwrite files and set SELinux security context to default. Create backup with suffix .bk . Show the operations performed.					
346	mv -fvZS	Setting SELinux security context to default, move bleach.txt inside anime folder and create backup with .bk extension. Show the progress of tasks. Over-write without permission.					
347	mv -fvZS	Shift bleach.txt into anime folder with sel security context set to default and make backup with .bk appended to name before overwriting them. Do not ask before overwriting.					
348	mv -buvZS	Move the file code.txt to anime directory, only if the source file code.txt is newer, and show the details of operations performed. Use .bk extension for creating backup files. Set SELinux security context to default.					
349	mv -buvZS	Creating backup with .bk extension, shift code.txt into anime folder. Perform this operation only when destination has older file. Also set sel security to default. Show the progress of the tasks.					
350	mv -buvZS	Showing the progress of the tasks, transfer code.txt into anime folder, if there is old file in destination. Display the operations completed and set SELinux security to default setting.					
351	mv -nvZ	Move bleach/// to anime directory after stripping trailing slashes from source bleach/// . Do not overwrite existing files and set SELinux security context to default settings. Show the operations performed.					
352	mv -nvZ	Removing the trailing slashes from source bleach/// , transfer it inside anime folder if no file of same name exists already. Set SEL context to default value. Show the jobs completed.					
353	mv -nvZ	Showing the tasks fulfilled, move bleach/// into anmie . Remove following slashes from source before transferring. Do not transfer if the file with same name is present.					
354	mv -ivZ	Move bleach/// to anime directory after stripping trailing slashes from source bleach/// . Ask for overwriting files. Set the SELinux security context to default. Show the operations performed.					
355	mv -ivZ	Remove the ending slashes from bleach/// . Shift it inside anime folder, if a file with same name overwrite only after asking. Set the SEL to normal value. Show the tasks completed.					
356	mv -ivZ	Giving the acknowledgement of the jobs performed, move bleach/// into anime folder after removing ending slashes. Set SEL security to default. Overwrite any file with my permission.					
357	mv -fvZ	Move bleach/// to anime directory after stripping all the trailing slashes from source bleach/// . Overwrite files and set SELinux security context to default. Show the operations performed.					
358	mv -fvZ	Remove the ending slashes from bleach/// . Shift it inside anime folder, if a file with same name exists overwrite. Set the SEL to normal value. Show the tasks completed.					
359	mv -fvZ	Giving the acknowledgement of the jobs performed, move bleach/// into anime folder after removing ending slashes. Set SEL security to default. Overwrite any file.					
360	mv -ivZ	Move bleach.txt file to anime directory after removing any trailing slashes from source bleach.txt . Ask for overwriting files. Set the SELinux security context to default. Create numbered backup. Show the operations performed.					
361	mv -ivZ	Remove the ending slashes from bleach.txt . Shift it inside anime folder, if a file with same name exists create numbered backup only after asking. Set the SEL to normal value. Show the tasks completed.					
362	mv -ivZ	Giving the acknowledgement of the jobs performed, move bleach.txt into anime folder after removing ending slashes. Set SEL security to default. Take backup of numbering style if overwriting any file with my permission.					
363	mv -ivZ	Move bleach// to anime directory after removing the trailing slashes from source bleach// . Ask for overwriting files. Set the SELinux security context to default. Create simple backup. Show the operations performed.					
