command,Description,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
tar -xvf,Untar compressed.tar in current directory. Show the files in the archive.,,,,,
tar -xvf,Extract all .php files from Phpfiles-org.tar in the current folder.,,,,,
tar -xvf,How do I extract the files ending with .php from Phpfiles-org.tar?,,,,,
tar -cf,Create archive of test_folder directory with name test.tar .,,,,,
tar -cf,Make archive of the test_folder named test.tar .,,,,,
tar -cf,Make archive of the test_folder and name it as test.tar .,,,,,
tar -cf,Create test.tar as an archive of test_folder folder.,,,,,
tar -cvf,Create archive of test_folder directory with name test.tar and display the details.,,,,,
tar -cvf,Create archive of test_folder folder with name test.tar and show the files added.,,,,,
tar -cvf,Make of the test_folder with name test.tar displaying the files added.,,,,,
tar -cvf,Archive the folder test_folder with name test.tar and show the details of operations performed.,,,,,
tar -czf,Create compressed archive of test_folder directory in gzip format and name it test.tar.gz .,,,,,
tar -czf,Create gzip archive of test_folder named test.tar.gz .,,,,,
tar -czf,Make gzip compressed archive of test_folder with name test.tar.gz .,,,,,
tar -czf,Archive test_folder and compress it using Lempel-ziv coding and name it test.tar.gz .,,,,,
tar -cvzf,Create compressed archive of test_folder directory in gzip format and name it test.tar.gz and show the details.,,,,,
tar -cvzf,Create gzip archive of test_folder named test.tar.gz and display the files added.,,,,,
tar -cvzf,Make gzip compressed archive of test_folder with name test.tar.gz and show the progress.,,,,,
tar -cvzf,Archive test_folder and compress it using Lempel-ziv coding and name it test.tar.gz and show the files added to archive.,,,,,
tar -cjf,Create compressed archive of test_folder directory in bzip2 format and name it test.tar.bz2 .,,,,,
tar -cjf,Make bzip2 compressed archive of test_folder and save it as test.tar.bz2 .,,,,,
tar -cjf,Make the bz2 archive of test_folder directory and store it as test.tar.bz2 .,,,,,
tar -cjf,Use Burrows-Wheeler algorithm to compress the archive of test_folder and name it as tes.tar.bz2 .,,,,,
tar -cvjf,Create compressed archive of test_folder directory in bzip2 format and name it test.tar.bz2 and show the details.,,,,,
tar -cvjf,Make bzip2 compressed archive of test_folder and save it as test.tar.bz2 and display the progress of process.,,,,,
tar -cvjf,Make the bz2 archive of test_folder directory and store it as test.tar.bz2 and show the process details.,,,,,
tar -cvjf,Use Burrows-Wheeler algorithm to compress the archive of test_folder and name it as tes.tar.bz2 and show the files added to archive.,,,,,
tar -xf,Extract doc1.txt file from document.tar archive.,,,,,
tar -xf,Untar doc1.txt from document.tar archive.,,,,,
tar -xf,Untar the file doc1.txt from document.tar .,,,,,
tar -xvf,Extract doc1.txt file from document.tar archive and display the details.,,,,,
tar -xvf,Untar doc1.txt from document.tar archive and show the process details.,,,,,
tar -xvf,Untar the file doc1.txt from document.tar verbosely.,,,,,
tar -xzf,Extract doc1.txt file from document.tar.gz archive.,,,,,
tar -xzf,Untar doc1.txt file from gzip archive named document.tar.gz .,,,,,
tar -xzf,Untar doc1.txt file from gzipped archive document.tar.gz .,,,,,
tar -xzvf,Extract doc1.txt file from document.tar.gz archive and display the details.,,,,,
tar -xzvf,Untar doc1.txt file from gzip archive named document.tar.gz verbosely.,,,,,
tar -xzvf,Untar doc1.txt file from gzipped archive document.tar.gz showing the progress.,,,,,
tar -xjf,Extract doc1.txt file from document.tar.bz2 archive.,,,,,
tar -xjf,Take out the doc1.txt file from document.tat.bz2 bzip2 archive.,,,,,
tar -xjf,From document.tar.bz2 bz2 archive, extract doc1.txt file.,,,,
tar -xjvf,Extract doc1.txt file from document.tar.bz2 archive and display the details.,,,,,
tar -xjvf,Take out the doc1.txt file from document.tat.bz2 bzip2 archive and show the performed operations.,,,,,
tar -xjvf,From document.tar.bz2 bz2 archive, extract doc1.txt file giving the progress details.,,,,
tar -xf,Extract doc1.txt and doc2.txt file from document.tar archive.,,,,,
tar -xf,Take out the files doc1.txt and doc2.txt from document.tar archive.,,,,,
tar -xf,Untar the doc1.txt and doc2.txt files from document.tar archive.,,,,,
tar -xvf,Extract doc1.txt and doc2.txt file from document.tar archive and display the details.,,,,,
tar -xvf,Take out the files doc1.txt and doc2.txt from document.tar archive showing progress details.,,,,,
tar -xvf,Untar the doc1.txt and doc2.txt files from document.tar archive showing the tasks completed.,,,,,
tar -xzf,Extract doc1.txt and doc2.txt file from document.tar.gz archive.,,,,,
tar -xzf,Untar the files doc1.txt and doc2.txt files from document.tar.gz gzip compressed archive.,,,,,
tar -xzf,Extract the files doc1.txt and doc2.txt files from gzipped archive document.tar.gz file.,,,,,
tar -xzvf,Extract doc1.txt and doc2.txt file from document.tar.gz archive and display the details.,,,,,
tar -xzvf,Untar the files doc1.txt and doc2.txt files from document.tar.gz gzip compressed archive and show the tasks performed.,,,,,
tar -xzvf,Extract the files doc1.txt and doc2.txt files from gzipped archive document.tar.gz file displaying the operations completed.,,,,,
tar -xjf,Extract doc1.txt and doc2.txt file from document.tar.bz2 archive.,,,,,
tar -xjf,Extract doc1.txt and doc2.txt files from bz2 archive document.tar.bz2 .,,,,,
tar -xjf,Untar doc1.txt and doc2.txt from the bzip2 compressed archive document.tar.bz2 .,,,,,
tar -xjvf,Extract doc1.txt and doc2.txt file from document.tar.bz2 archive and display the details.,,,,,
tar -xjvf,Untar the files doc1.txt and doc2.txt from bz2 archive document.tar.bz2 showing the files extracted.,,,,,
tar -xjvf,Extract the files doc1.txt and doc2.txt from bzipped2 archive document.tar.bz2 with the acknowledgement.,,,,,
tar -tf,Show me the files in the archive named test.tar .,,,,,
tar -tf,List the contents of test.tar archive.,,,,,
tar -tf,Display the details regarding test.tar contents.,,,,,
tar -tf,Show the archive test.tar contents.,,,,,
tar -tvf,Show me the files and its details in test.tar archive.,,,,,
tar -tvf,Display the details of test.tar contents.,,,,,
tar -tvf,Give the details of data in test.tar archive.,,,,,
tar -tzf,Show me the files under gzipped archive test.tar.gz .,,,,,
tar -tzf,Display the archived files in test.tar.gz gzip archive.,,,,,
tar -tzf,Show the archived files inside gzipped archive test.tar.gz .,,,,,
tar -tvzf,Show me the files and its details under gzipped archive test.tar.gz .,,,,,
tar -tvzf,Display the archived files and their details in test.tar.gz gzip archive.,,,,,
tar -tvzf,Display the files inside test.tar.gz gzip archive in long listing format.,,,,,
tar -tjf,Show me the files under bzipped2 archive test.tar.bz2 .,,,,,
tar -tjf,Display the contents of test.tar.bz2 archive.,,,,,
tar -tjf,Show me the bz2 archived content in test.tar.bz2 .,,,,,
tar -tvjf,Show me the files and its details under bzipped2 archive test.tar.bz2 .,,,,,
tar -tvjf,Display the files inside test.tar.bz2 bzip2 archive in long listing format.,,,,,
tar -tvjf,Show me the bz2 archived content in test.tar.bz2 in detail.,,,,,
tar -cwf,Create archive of Music directory named check.tar and ask for each each file or directory to be added to archive or not .,,,,,
tar -cwf,Interactively ask for each file in Music directory to be added to check.tar archive or not.,,,,,
tar -cwf,How do I select for each file to be added to archive check.tar in Music directory?,,,,,
tar -cvwf,Create archive of Music directory named check.tar and ask for each each file or directory to be added to archive or not and give me the details.,,,,,
tar -cvwf,Interactively ask for each file in Music directory to be added to check.tar archive or not. Also give the details of task done.,,,,,
